Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Aaron Judge,32,NYY,AL,10.9,157,699,554,122,180,36,1,58,144,10,0,133,166,.325,.461,.708,1.169,226,.488,226,392,22,9,0,2,20,*8D/97,AS,judgeaa01
2,Shohei Ohtani*,29,LAD,NL,9.1,157,721,627,133,194,38,7,54,130,57,4,80,162,.309,.390,.651,1.041,191,.449,190,408,7,6,0,5,10,*D,AS,ohtansh01
3,Anthony Santander#,29,BAL,AL,2.8,154,660,590,91,140,25,2,44,102,2,0,58,128,.237,.311,.510,.821,136,.349,133,301,9,7,0,5,3,*9D/3H,AS,santaan02
4,Juan Soto*,25,NYY,AL,7.9,156,708,573,128,165,31,4,41,108,7,4,127,118,.288,.418,.571,.989,178,.423,179,327,10,4,0,4,2,*9/7DH,AS,sotoju01
5,Marcell Ozuna,33,ATL,NL,4.6,158,671,591,96,182,31,0,39,102,1,0,72,164,.308,.384,.558,.942,159,.400,159,330,22,3,0,4,2,*D,AS,ozunama01
6,José Ramírez#,31,CLE,AL,6.7,157,678,617,113,171,38,2,38,115,41,7,54,82,.277,.334,.530,.864,141,.374,138,327,9,1,0,5,12,*5D,AS,ramirjo01
7,Brent Rooker,29,OAK,AL,5.5,143,605,538,81,159,26,2,38,110,11,3,58,174,.296,.367,.563,.930,166,.400,167,303,5,5,0,4,4,*D/79H,,rookebr01
8,Kyle Schwarber*,31,PHI,NL,3.5,148,683,566,108,141,22,0,38,102,5,3,104,195,.249,.366,.489,.855,138,.368,138,277,6,5,0,8,4,*D/7H,,schwaky01
9,Gunnar Henderson*,23,BAL,AL,9.0,158,716,627,118,177,31,7,37,92,21,4,78,159,.282,.366,.531,.897,160,.387,158,333,2,7,0,4,1,*6/D,AS,hendegu01
10,Yordan Alvarez*,27,HOU,AL,5.4,147,635,552,88,170,34,2,35,86,6,0,69,95,.308,.392,.567,.959,172,.406,169,313,14,10,0,4,16,D7,AS,alvaryo01
11,Ketel Marte#,30,ARI,NL,6.8,134,574,496,92,145,23,2,35,93,7,1,65,106,.292,.373,.558,.931,155,.396,155,277,9,4,0,9,7,*4D/H6,AS,marteke01
12,Pete Alonso,29,NYM,NL,2.5,158,679,594,91,144,31,0,34,88,3,0,69,168,.242,.331,.466,.798,125,.343,123,277,14,12,0,4,4,*3/DH,AS,alonspe01
