playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
Aaron Judge,2024,NYY,AL,154,545,118,176,36,1,55,138,10,0,129,165,20,9,0,2,22
Shohei Ohtani*,2024,LAD,NL,153,611,128,184,34,7,53,123,55,4,78,160,10,6,0,5,7
Anthony Santander#,2024,BAL,AL,150,575,88,135,24,2,43,99,2,0,56,127,3,7,0,5,8
Juan Soto*,2024,NYY,AL,152,558,124,160,31,4,40,104,6,4,125,113,1,4,0,4,10
Marcell Ozuna,2024,ATL,NL,156,585,94,181,31,0,38,101,0,0,70,164,2,3,0,4,22
Brent Rooker,2024,OAK,AL,139,523,81,155,25,2,38,110,11,3,56,167,4,5,0,4,5
Gunnar Henderson*,2024,BAL,AL,154,612,116,173,30,7,37,89,21,3,76,155,1,7,0,3,2
José Ramírez#,2024,CLE,AL,154,606,109,166,36,1,37,112,40,7,53,81,12,1,0,5,9
Kyle Schwarber*,2024,PHI,NL,144,550,106,137,21,0,36,99,5,3,102,191,4,5,0,8,5
Yordan Alvarez*,2024,HOU,AL,147,552,88,170,34,2,35,86,6,0,69,95,16,10,0,4,14
Ketel Marte#,2024,ARI,NL,130,484,90,143,22,2,35,93,7,1,62,103,7,4,0,9,9
Pete Alonso,2024,NYM,NL,156,587,90,143,31,0,34,88,3,0,68,165,4,12,0,4,14
Willy Adames,2024,MIL,NL,155,588,88,147,32,0,32,110,19,4,71,171,3,1,0,3,12
Bobby Witt Jr.,2024,KCR,AL,156,617,124,206,45,11,32,108,30,12,54,103,9,8,0,8,4
Teoscar Hernández,2024,LAD,NL,148,565,82,151,31,2,31,93,11,3,51,180,2,7,0,1,7
Francisco Lindor#,2024,NYM,NL,148,601,103,163,39,1,31,86,27,4,54,124,0,12,0,3,7
Josh Naylor*,2024,CLE,AL,148,550,82,132,26,0,31,105,6,2,56,101,7,7,0,3,17
Tyler O'Neill,2024,BOS,AL,109,401,74,98,18,0,31,61,4,0,52,155,5,6,0,2,12
Cal Raleigh#,2024,SEA,AL,147,519,67,111,16,0,31,95,6,1,70,169,4,6,0,6,7
Vladimir Guerrero Jr.,2024,TOR,AL,153,594,97,194,42,1,30,100,2,2,69,93,12,5,0,3,16
Corey Seager*,2024,TEX,AL,123,475,68,132,21,0,30,74,1,1,53,96,11,3,0,2,8
Bryce Harper*,2024,PHI,NL,140,534,82,151,41,0,29,86,6,4,73,133,11,2,1,2,18
Manny Machado,2024,SDP,NL,147,573,75,158,29,0,29,104,10,2,43,120,6,1,0,4,25
Matt Olson*,2024,ATL,NL,156,578,77,142,37,1,29,98,0,0,69,162,5,8,0,5,15
Eugenio Suárez,2024,ARI,NL,152,549,87,141,28,2,29,98,2,1,47,167,0,9,0,11,9
Jake Burger,2024,MIA,NL,131,505,64,125,20,1,28,69,1,1,31,143,2,9,0,4,11
Rafael Devers*,2024,BOS,AL,138,525,87,143,34,5,28,83,3,0,67,147,14,3,0,6,13
Shea Langeliers,2024,OAK,AL,133,468,55,105,17,2,28,75,4,2,38,141,2,5,0,5,14
Salvador Perez,2024,KCR,AL,153,569,57,154,27,0,27,103,0,0,43,125,9,11,0,6,17
Matt Chapman,2024,SFG,NL,148,554,95,137,36,1,26,75,15,2,63,151,3,6,0,2,12
Giancarlo Stanton,2024,NYY,AL,109,400,46,94,19,0,26,68,0,0,36,135,2,2,0,2,16
Christian Walker,2024,ARI,NL,124,456,69,115,23,0,26,82,2,2,55,128,4,7,0,8,11
Alex Bregman,2024,HOU,AL,141,568,78,146,28,2,25,73,3,1,43,85,1,5,0,3,13
Elly De La Cruz#,2024,CIN,NL,155,597,104,156,35,9,25,74,65,16,69,210,2,6,2,1,12
Ian Happ#,2024,CHC,NL,148,550,88,136,34,2,25,85,13,2,76,166,1,5,0,2,7
Rhys Hoskins,2024,MIL,NL,126,436,55,93,13,0,25,77,3,0,50,143,1,6,0,6,11
Michael Toglia#,2024,COL,NL,110,378,62,81,13,3,25,53,9,1,49,140,2,1,0,3,5
Ezequiel Tovar,2024,COL,NL,151,629,81,168,44,3,25,74,6,5,23,193,1,4,5,7,15
Mark Vientos,2024,NYM,NL,106,392,55,105,22,0,25,67,0,0,33,127,0,3,0,4,6
Taylor Ward,2024,LAA,AL,150,562,73,140,26,2,25,72,5,3,60,158,0,7,0,8,10
Riley Greene*,2024,DET,AL,131,489,80,128,25,6,24,72,4,2,63,149,3,5,0,2,2
Jackson Merrill*,2024,SDP,NL,151,537,75,157,29,6,24,89,16,3,28,100,1,1,3,5,2
Jurickson Profar#,2024,SDP,NL,153,544,90,155,28,0,24,85,10,3,75,96,4,17,5,5,13
Paul DeJong,2024,2TM,AL,137,440,53,101,17,0,24,56,2,2,22,154,0,9,0,5,9
Paul DeJong,2024,CHW,AL,102,337,39,77,14,0,18,41,2,1,14,112,0,9,0,3,8
Paul DeJong,2024,KCR,AL,35,103,14,24,3,0,6,15,0,1,8,42,0,0,0,2,1
William Contreras,2024,MIL,NL,150,579,96,165,37,2,23,92,7,2,74,134,5,3,0,3,19
Adolis García,2024,TEX,AL,149,561,65,123,26,0,23,80,11,5,44,173,2,6,0,6,12
Zach Neto,2024,LAA,AL,152,532,70,132,33,1,23,77,30,8,38,136,1,16,4,1,13
Joc Pederson*,2024,ARI,NL,127,356,62,99,16,1,23,63,6,4,54,102,2,16,1,3,4
Jazz Chisholm Jr.*,2024,2TM,2LG,142,542,73,139,19,4,23,69,38,10,53,148,5,4,0,2,6
Jazz Chisholm Jr.*,2024,MIA,NL,101,386,46,96,14,4,13,50,22,8,39,107,5,4,0,1,4
Jazz Chisholm Jr.*,2024,NYY,AL,41,156,27,43,5,0,10,19,16,2,14,41,0,0,0,1,2
Lawrence Butler*,2024,OAK,AL,120,392,60,104,23,2,22,57,17,0,33,102,0,0,0,4,8
Nick Castellanos,2024,PHI,NL,156,590,75,146,28,3,22,84,6,2,39,136,2,10,0,2,13
Colton Cowser*,2024,BAL,AL,148,479,74,117,23,3,22,64,8,4,51,163,2,7,0,3,9
Brenton Doyle,2024,COL,NL,145,530,81,140,24,4,22,71,29,5,45,150,1,3,4,8,13
Freddie Freeman*,2024,LAD,NL,144,530,81,150,33,2,22,89,9,2,78,99,9,10,0,8,13
Brandon Nimmo*,2024,NYM,NL,145,545,86,124,25,3,22,87,14,0,77,149,1,12,0,3,6
Bryan Reynolds#,2024,PIT,NL,150,601,70,166,29,3,22,85,10,2,54,150,3,9,0,3,6
Carlos Santana#,2024,MIN,AL,144,502,60,118,25,0,22,65,4,0,58,98,3,6,0,2,11
Marcus Semien,2024,TEX,AL,153,625,96,146,26,2,22,73,7,3,60,103,2,3,0,1,7
Kyle Tucker*,2024,HOU,AL,74,259,54,74,13,0,22,47,11,0,56,53,3,1,0,2,5
Alec Burleson*,2024,STL,NL,147,529,69,141,20,0,21,73,9,3,32,75,0,4,1,6,8
Michael Busch*,2024,CHC,NL,147,484,72,122,28,2,21,65,2,1,59,158,1,3,0,4,9
Corbin Carroll*,2024,ARI,NL,152,566,117,130,21,14,21,72,32,7,69,124,0,10,3,8,3
Jackson Chourio,2024,MIL,NL,142,505,79,138,28,4,21,78,21,7,39,115,4,3,1,2,7
Oneil Cruz*,2024,PIT,NL,140,522,71,140,34,3,21,76,22,1,48,175,5,3,0,4,8
